reduce_sec,add_K,add_Q,service_time_sec,mu,K,Q,total_cost,rho,throughput,side_buffer_rate,rejected_rate,profit_rate
1,3,9,14,4.285714285714286,6,11,30,0.8166666666666667,3.47893498958116,0.9512715616198196,0.021065010418840274,61.33657698609943
1,3,8,14,4.285714285714286,6,10,29,0.8166666666666667,3.4740499272475303,0.9310814543213408,0.025950072752469848,61.25384472780579
2,2,2,13,4.615384615384615,5,4,24,0.7583333333333334,3.4251422320117,0.6268984620349017,0.07485776798829988,61.24192390430579
1,3,7,14,4.285714285714286,6,9,28,0.8166666666666667,3.4679870468647236,0.9060233901439375,0.03201295313527625,61.151165222084686
5,0,0,10,6.0,3,2,30,0.5833333333333334,3.39745880449808,0.47713046070281195,0.10254119550192013,61.0558965392815
1,3,6,14,4.285714285714286,6,8,27,0.8166666666666667,3.4604386150450615,0.8748254978826538,0.03956138495493842,61.02332676919185
1,3,5,14,4.285714285714286,6,7,26,0.8166666666666667,3.451003669902749,0.8358305901888113,0.048996330097250955,60.863538773626956
4,0,2,11,5.454545454545454,3,4,26,0.6416666666666667,3.442165660371793,0.7906538106542486,0.05783433962820704,60.78305253335566
3,1,1,12,5.0,4,3,24,0.7,3.408238093708488,0.5858850576630075,0.09176190629151212,60.724824224120326
1,3,4,14,4.285714285714286,6,6,25,0.8166666666666667,3.4391526952936333,0.7868501611567398,0.06084730470636639,60.66283347542775
2,2,1,13,4.615384615384615,5,3,23,0.7583333333333334,3.399129038354618,0.5397286013787387,0.10087096164538198,60.63862310670099
2,1,10,13,4.615384615384615,4,12,27,0.7583333333333334,3.4897905041014363,1.1258155314456566,0.010209495898563502,60.48300095350657
1,3,3,14,4.285714285714286,6,5,24,0.8166666666666667,3.4241748808117345,0.7249464103275112,0.07582511918826557,60.40917275796663
2,1,9,13,4.615384615384615,4,11,26,0.7583333333333334,3.4864975418307536,1.1156066833189975,0.013502458169246218,60.40002362498571
2,1,8,13,4.615384615384615,4,10,25,0.7583333333333334,3.4821256040032975,1.1020527930430408,0.017874395996702666,60.28985785582055
3,0,10,12,5.0,3,12,28,0.7,3.49499843876082,1.1878310453811562,0.005001561239180274,60.24727357499174
3,0,9,12,5.0,3,11,27,0.7,3.492844687448625,1.1823755933073667,0.007155312551375016,60.18322962597232
2,1,7,13,4.615384615384615,4,9,24,0.7583333333333334,3.4763083754940864,1.0840182097447955,0.023691624505913632,60.14327309674596
3,0,8,12,5.0,3,10,26,0.7,3.489757184771073,1.174554949025128,0.010242815228926866,60.091419646352634
1,3,2,14,4.285714285714286,6,4,23,0.8166666666666667,3.405096904266729,0.6460965682630941,0.0949030957332711,60.08607266723169
3,0,7,12,5.0,3,9,25,0.7,3.485324458570319,1.163326853558618,0.014675541429680864,59.95960810004701
2,1,6,13,4.615384615384615,4,8,23,0.7583333333333334,3.4685453799125283,1.0599513555309987,0.031454620087471845,59.94765815137843
2,2,0,13,4.615384615384615,5,2,22,0.7583333333333334,3.3630360073819068,0.41878134199856476,0.136963992618093,59.80154963310683
3,0,6,12,5.0,3,8,24,0.7,3.47894666392738,1.1471718997280527,0.0210533360726203,59.76995799854457
4,0,1,11,5.454545454545454,3,3,25,0.6416666666666667,3.4083541974846145,0.7122923603535602,0.09164580251538548,59.719370991402236
2,1,5,13,4.615384615384615,4,7,22,0.7583333333333334,3.4581452298490194,1.027708789790695,0.04185477015098085,59.6855911741254
1,3,1,14,4.285714285714286,6,3,22,0.8166666666666667,3.3805533103528,0.5446571677458972,0.11944668964720029,59.67040817567281
3,1,0,12,5.0,4,2,23,0.7,3.3653821948928653,0.46704136465740526,0.13461780510713448,59.53277882738402
3,0,5,12,5.0,3,7,23,0.7,3.4697417952811422,1.1238559674471333,0.03025820471885764,59.49624202448005
1,2,10,14,4.285714285714286,5,12,26,0.8166666666666667,3.47893498958116,1.1906162106595835,0.021065010418840274,59.42181979378132
2,1,4,13,4.615384615384615,4,6,21,0.7583333333333334,3.4441388809909146,0.9842862794344659,0.05586111900908518,59.33265381407
1,2,9,14,4.285714285714286,5,11,25,0.8166666666666667,3.4740499272475303,1.171875339274054,0.025950072752469848,59.32749364818408
1,2,8,14,4.285714285714286,5,10,24,0.8166666666666667,3.4679870468647236,1.148615930545976,0.03201295313527625,59.21042489886838
1,3,0,14,4.285714285714286,6,2,21,0.8166666666666667,3.3485708293270893,0.4124726264893107,0.15142917067291056,59.12876045443998
3,0,4,12,5.0,3,6,22,0.7,3.456397036863076,1.0900536943741712,0.04360296313692402,59.09942228816043
1,2,7,14,4.285714285714286,5,9,23,0.8166666666666667,3.4604386150450615,1.1196574075562353,0.03956138495493842,59.064671491803196
